Name,Developer,Producer,Genre,Operating System,Date Released
A-Men 2,Bloober Team,Bloober Team,"Adventure, Puzzle",Microsoft Windows,24-Jun-15
A-Train,Artdink,"Artdink, Maxis, Ocean Software",Vehicle Simulation Game,"Windows, Mac",1985
A-10 Cuba!,Parsoft Interactive,Activision,Flight simulator,"Windows, Mac",30-Nov-96
A.D. 2044,R.M.P. Software,LK Avalon,Adventure,Microsoft Windows,6-Sep-96
A.D.A.M. Life's Greatest Mysteries,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1996
A.D.A.M. The Inside Story,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1995
A.R.E.S.: Extinction Agenda,Extend Studio,"Origo Games, Aksys Games","Action, platform",Microsoft Windows,14-Dec-10
A Girls Fabric Face,Stanislaw Truchowskit,TurnVex,Adventure,Microsoft Windows,10-Mar-17
A Hat in Time,Gears for Breakfast,Gears for Breakfast,"Platform, action-adventure","macOS, Microsoft Windows",5-Oct-17
A Game of Thrones: Genesis,Cyanide,Focus Home Interactive,Strategy,Microsoft Windows,28-Sep-11
"A Passion for Art: Renoir, Cezanne, Matisse, and Dr. Barnes",Corbis Corporation,Corbis Corporation,Fine Art,Microsoft Windows,1995
A to Zap! Featuring the Sunbuddies,ImageBuilder Software,ImageBuilder Software,Educational,"Microsoft Windows, macOS",1995
AaAaAA!!! â€“ A Reckless Disregard for Gravity,Dejobaan Games,Dejobaan Games,Simulation,Microsoft Windows,3-Sep-09
Aaero,Mad Fellows,Mad Fellows,"Action, Rhythm/Music",Microsoft Windows,11-Apr-17
ABC Sports Indy Racing,Shot Sports Software,ABC Interactive,Racing,Microsoft Windows,1997
ABC Sports Monday Night Football,OT Sports],ABC Interactive,Sports,Microsoft Windows,1996
Abomination: The Nemesis Project,Hothouse Creations,Eidos Interactive,"Action, real-time tactics",Microsoft Windows,1999
Absolute Drift,Funselektor Labs,Funselektor Labs,Racing game,Microsoft Windows,29-Jul-15
